Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR
1, BRISK, BRISK,14.3346,12.2891
2, BRISK, BRISK,22.9422,13.3547
3, BRISK, BRISK,13.6421,16.3845
4, BRISK, BRISK,13.8129,14.0764
5, BRISK, BRISK,26.4305,12.7299
6, BRISK, BRISK,16.931,13.7511
7, BRISK, BRISK,14.7751,13.7314
8, BRISK, BRISK,13.1829,13.7901
9, BRISK, BRISK,13.9642,12.059
10, BRISK, BRISK,10.8782,11.8642
11, BRISK, BRISK,13.0458,11.9682
12, BRISK, BRISK,12.239,9.88711
13, BRISK, BRISK,10.8728,9.42504
14, BRISK, BRISK,14.3028,9.30215
15, BRISK, BRISK,11.4379,8.3212
16, BRISK, BRISK,11.4475,8.89867
17, BRISK, BRISK,10.0049,11.0301
18, BRISK, BRISK,13.761,8.53557
,,,,
0, BRISK, BRIEF, ,
1, BRISK, BRIEF,10.9213,12.2891
2, BRISK, BRIEF,15.3406,13.3547
3, BRISK, BRIEF,10.8525,16.3845
4, BRISK, BRIEF,22.7733,14.0764
5, BRISK, BRIEF,15.0432,12.7299
6, BRISK, BRIEF,15.2067,13.7511
7, BRISK, BRIEF,13.7324,13.7314
8, BRISK, BRIEF,18.1081,13.7901
9, BRISK, BRIEF,14.8539,12.059
10, BRISK, BRIEF,9.86778,11.8642
11, BRISK, BRIEF,13.7368,11.9682
12, BRISK, BRIEF,12.1969,9.88711
13, BRISK, BRIEF,11.8439,9.42504
14, BRISK, BRIEF,10.991,9.30215
15, BRISK, BRIEF,10.304,8.3212
16, BRISK, BRIEF,12.0195,8.89867
17, BRISK, BRIEF,10.7936,11.0301
18, BRISK, BRIEF,9.03165,8.53557
,,,,
0, BRISK, ORB, ,
1, BRISK, ORB,11.326,12.2891
2, BRISK, ORB,19.801,13.3547
3, BRISK, ORB,14.3129,16.3845
4, BRISK, ORB,14.3497,14.0764
5, BRISK, ORB,18.8106,12.7299
6, BRISK, ORB,20.3228,13.7511
7, BRISK, ORB,15.0786,13.7314
8, BRISK, ORB,16.305,13.7901
9, BRISK, ORB,18.261,12.059
10, BRISK, ORB,11.2213,11.8642
11, BRISK, ORB,13.6136,11.9682
12, BRISK, ORB,11.7708,9.88711
13, BRISK, ORB,11.0276,9.42504
14, BRISK, ORB,13.6446,9.30215
15, BRISK, ORB,10.6024,8.3212
16, BRISK, ORB,13.0952,8.89867
17, BRISK, ORB,10.3416,11.0301
18, BRISK, ORB,14.7757,8.53557
,,,,
0, BRISK, FREAK, ,
1, BRISK, FREAK,11.4638,12.2891
2, BRISK, FREAK,21.7152,13.3547
3, BRISK, FREAK,10.6889,16.3845
4, BRISK, FREAK,14.5804,14.0764
5, BRISK, FREAK,17.321,12.7299
6, BRISK, FREAK,12.7322,13.7511
7, BRISK, FREAK,10.919,13.7314
8, BRISK, FREAK,13.7901,13.7901
9, BRISK, FREAK,16.9709,12.059
10, BRISK, FREAK,11.9582,11.8642
11, BRISK, FREAK,14.6574,11.9682
12, BRISK, FREAK,11.2184,9.88711
13, BRISK, FREAK,13.2237,9.42504
14, BRISK, FREAK,10.114,9.30215
15, BRISK, FREAK,14.1957,8.3212
16, BRISK, FREAK,10.8041,8.89867
17, BRISK, FREAK,9.94683,11.0301
18, BRISK, FREAK,12.3167,8.53557
,,,,
0, ORB, BRISK, ,
1, ORB, BRISK,11.0758,12.2891
2, ORB, BRISK,11.1036,13.3547
3, ORB, BRISK,31.5313,16.3845
4, ORB, BRISK,11.2833,14.0764
5, ORB, BRISK,79.3232,12.7299
6, ORB, BRISK,7.13793,13.7511
7, ORB, BRISK,8.92814,13.7314
8, ORB, BRISK,10.4367,13.7901
9, ORB, BRISK,14.8221,12.059
10, ORB, BRISK,10.8822,11.8642
11, ORB, BRISK,7.52121,11.9682
12, ORB, BRISK, -inf,9.88711
13, ORB, BRISK,21.4216,9.42504
14, ORB, BRISK,11.3527,9.30215
15, ORB, BRISK,31.0397,8.3212
16, ORB, BRISK,36.1547,8.89867
17, ORB, BRISK,18.7061,11.0301
18, ORB, BRISK,50.0669,8.53557
,,,,
0, ORB, BRIEF, ,
1, ORB, BRIEF,16.5073,12.2891
2, ORB, BRIEF,9.7741,13.3547
3, ORB, BRIEF,9.75076,16.3845
4, ORB, BRIEF,11.1446,14.0764
5, ORB, BRIEF,49.9115,12.7299
6, ORB, BRIEF, nan,13.7511
7, ORB, BRIEF, nan,13.7314
8, ORB, BRIEF, -inf,13.7901
9, ORB, BRIEF,66.1635,12.059
10, ORB, BRIEF,63.5468,11.8642
11, ORB, BRIEF,15.0858,11.9682
12, ORB, BRIEF,24.4668,9.88711
13, ORB, BRIEF,15.5928,9.42504
14, ORB, BRIEF,9.99925,9.30215
15, ORB, BRIEF,13.0251,8.3212
16, ORB, BRIEF,10.0494,8.89867
17, ORB, BRIEF,11.5794,11.0301
18, ORB, BRIEF,12.7433,8.53557
,,,,
0, ORB, ORB, ,
1, ORB, ORB, -inf,12.2891
2, ORB, ORB,8.38399,13.3547
