Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR
0014, FAST, BRISK, 12.2928, 9.30215
0015, FAST, BRISK, 12.2294, 8.3212
0016, FAST, BRISK, 10.7828, 8.89867
0017, FAST, BRISK, 10.2682, 11.0301
0018, FAST, BRISK, 11.6481, 8.53557

0000, FAST, BRIEF, 
0001, FAST, BRIEF, 12.2009, 12.2891
0002, FAST, BRIEF, 12.8411, 13.3547
0003, FAST, BRIEF, 12.7084, 16.3845
0004, FAST, BRIEF, 12.0381, 14.0764
0005, FAST, BRIEF, 11.9602, 12.7299
0006, FAST, BRIEF, 11.7686, 13.7511
0007, FAST, BRIEF, 12.2073, 13.7314
0008, FAST, BRIEF, 12.5241, 13.7901
0009, FAST, BRIEF, 13.0297, 12.059
0010, FAST, BRIEF, 13.0809, 11.8642
0011, FAST, BRIEF, 11.8438, 11.9682
0012, FAST, BRIEF, 12.305, 9.88711
0013, FAST, BRIEF, 12.1679, 9.42504
0014, FAST, BRIEF, 11.0014, 9.30215
0015, FAST, BRIEF, 10.2107, 8.3212
0016, FAST, BRIEF, 9.76701, 8.89867
0017, FAST, BRIEF, 10.4284, 11.0301
0018, FAST, BRIEF, 10.3618, 8.53557

0000, FAST, ORB, 
0001, FAST, ORB, 12.4947, 12.2891
0002, FAST, ORB, 12.5967, 13.3547
0003, FAST, ORB, 12.6506, 16.3845
0004, FAST, ORB, 11.8612, 14.0764
0005, FAST, ORB, 12.3204, 12.7299
0006, FAST, ORB, 11.8227, 13.7511
0007, FAST, ORB, 12.1627, 13.7314
0008, FAST, ORB, 11.7689, 13.7901
0009, FAST, ORB, 13.0974, 12.059
0010, FAST, ORB, 12.6515, 11.8642
0011, FAST, ORB, 11.8197, 11.9682
0012, FAST, ORB, 12.2689, 9.88711
0013, FAST, ORB, 12.5975, 9.42504
0014, FAST, ORB, 12.1132, 9.30215
0015, FAST, ORB, 11.4279, 8.3212
0016, FAST, ORB, 11.9209, 8.89867
0017, FAST, ORB, 10.3848, 11.0301
0018, FAST, ORB, 11.9031, 8.53557

0000, FAST, FREAK, 
0001, FAST, FREAK, 13.0761, 12.2891
0002, FAST, FREAK, 12.4891, 13.3547
0003, FAST, FREAK, 13.4584, 16.3845
0004, FAST, FREAK, 13.327, 14.0764
0005, FAST, FREAK, 11.4588, 12.7299
0006, FAST, FREAK, 12.079, 13.7511
0007, FAST, FREAK, 13.0192, 13.7314
0008, FAST, FREAK, 12.439, 13.7901
0009, FAST, FREAK, 13.7065, 12.059
0010, FAST, FREAK, 13.4338, 11.8642
0011, FAST, FREAK, 11.7575, 11.9682
0012, FAST, FREAK, 12.6587, 9.88711
0013, FAST, FREAK, 11.354, 9.42504
0014, FAST, FREAK, 11.8844, 9.30215
0015, FAST, FREAK, 10.5231, 8.3212
0016, FAST, FREAK, 9.44349, 8.89867
0017, FAST, FREAK, 11.3217, 11.0301
0018, FAST, FREAK, 11.266, 8.53557

0000, BRISK, BRISK, 
0001, BRISK, BRISK, 14.3346, 12.2891
0002, BRISK, BRISK, 22.9422, 13.3547
0003, BRISK, BRISK, 13.6421, 16.3845
0004, BRISK, BRISK, 13.8129, 14.0764
0005, BRISK, BRISK, 26.4305, 12.7299
0006, BRISK, BRISK, 16.931, 13.7511
0007, BRISK, BRISK, 14.7751, 13.7314
0008, BRISK, BRISK, 13.1829, 13.7901
0009, BRISK, BRISK, 13.9642, 12.059
0010, BRISK, BRISK, 10.8782, 11.8642
0011, BRISK, BRISK, 13.0458, 11.9682
0012, BRISK, BRISK, 12.239, 9.88711
0013, BRISK, BRISK, 10.8728, 9.42504
0014, BRISK, BRISK, 14.3028, 9.30215
0015, BRISK, BRISK, 11.4379, 8.3212
